# sent_id = aa_000
# text = T'ad faagail bee ec oaieyn ny merriu.
1-2	T'ad	_	_	_	_	_	_	_	
2	farraneyn	farrane	NOUN	_	_	1	nsubj	_	fuaráin
3	bree	bree	NOUN	_	_	2	nmod	_	brí
4	elley	elley	ADJ	_	_	2	amod	_	eile
5	goaill	goaill	NOUN	_	_	1	xcomp	_	ag gabháil
6	stiagh	stiagh	ADV	_	_	5	advmod	_	isteach
7	cabbil	cabbyl	NOUN	_	_	5	obj	_	capaill
8	,	,	PUNCT	_	_	9	punct	_	,
9	caabil	caabil	NOUN	_	_	7	conj	_	caabil
10	,	,	PUNCT	_	_	12	punct	_	,
11	yn	yn	DET	_	_	12	det	_	an
12	ym-hayrn	ym-hayrn	NOUN	_	_	7	conj	_	imtharraingt
13	,	,	PUNCT	_	_	14	punct	_	,
14	aer	aer	NOUN	_	_	7	conj	_	aer
15	broojit	broojit	ADJ	_	_	14	amod	_	brúite
16	,	,	PUNCT	_	_	17	punct	_	,
17	battreeyn	battree	NOUN	_	_	7	conj	_	battreeyn
18	,	,	PUNCT	_	_	20	punct	_	,
19	as	as	CCONJ	_	_	20	cc	_	agus
20	turbeenyn	turbeen	NOUN	_	_	7	conj	_	tuirbíní
21	gas	gas	NOUN	_	_	20	nmod	_	gáis
22	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_021
# text = Ren ee cummal rish dy hooyl as farg ayns e cree.
# text_ga = Lean sí ar aghaidh ag siúl agus fearg ina croí.
1	Ren	jean	VERB	_	Mood=Ind|Tense=Past	0	root	_	Rinne
2	ee	ee	PRON	_	_	1	nsubj	_	sí
3	cummal	cummal	NOUN	_	_	1	xcomp	_	ina cónaí
4-5	rish	_	_	_	_	_	_	_	
4	rish	rish	ADP	_	_	5	case	_	leis
5	eh	eh	PRON	_	_	3	obl	_	
6	dy	dy	ADP	_	_	7	case	_	de
7	hooyl	shooyl	NOUN	_	_	3	xcomp	_	shiúl
8	as	as	CCONJ	_	_	9	cc	_	agus
9	farg	farg	NOUN	_	_	1	obl	_	fearg
10	ayns	ayns	ADP	_	_	12	case	_	ina
11	e	e	DET	_	Gender=Fem|Number=Sing|Person=3|Poss=Yes	12	nmod:poss	_	
12	cree	cree	NOUN	_	_	9	nmod	_	croí
13	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_022
# text = Myr shoh ta'n Chiarn dy ghra, Va coraa er ny chlashtyn ayns Ramah, dobberan, as keayney sharroo; Rachel keayney son e cloan, er-yn-oyr nagh row veg jeu faagit.
# text_ga = Is mar seo a deir an Tiarna: Cluineadh guth i Rámá, caoineadh agus gol géar; is í Ráchael í ag caoineadh a clainne mar nach bhfuil siad ann.
# text_en = Thus saith the LORD; A voice was heard in Ramah, lamentation, and bitter weeping; Rahel weeping for her children refused to be comforted for her children, because they were not.
1	Myr	myr	ADP	_	_	3	advmod	_	Mar seo atá an
2	shoh	shoh	PRON	_	_	1	fixed	_	
3-4	ta'n	_	_	_	_	_	_	_	
3	ta	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	
4	'n	yn	DET	_	_	5	det	_	
5	Chiarn	chiarn	NOUN	_	_	3	nsubj	_	Tiarna
6	dy	dy	ADP	_	_	7	case	_	le rá
7	ghra	gra	NOUN	_	_	3	xcomp	_	
8	,	,	PUNCT	_	_	9	punct	_	,
9	Va	bee	VERB	_	Mood=Ind|Tense=Past	7	parataxis	_	Bhí
10	coraa	coraa	NOUN	_	_	9	nsubj	_	guth
11	er	er	ADP	_	_	13	case	_	á chloisteáil
12	ny	ny	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	13	nmod:poss	_	
13	chlashtyn	clashtyn	NOUN	_	_	9	xcomp:pred	_	
14	ayns	ayns	ADP	_	_	15	case	_	i
15	Ramah	Ramah	PROPN	_	_	13	obl	_	Rámá
16	,	,	PUNCT	_	_	17	punct	_	,
17	dobberan	dobberan	NOUN	_	_	10	conj	_	caointe
18	,	,	PUNCT	_	_	20	punct	_	,
19	as	as	CCONJ	_	_	20	cc	_	agus
20	keayney	keayney	NOUN	_	_	10	conj	_	caoineadh
21	sharroo	sharroo	ADJ	_	_	20	amod	_	searbh
22	;	;	PUNCT	_	_	23	punct	_	;
23	Rachel	Rachel	PROPN	_	_	10	appos	_	Rachel
24	keayney	keayney	NOUN	_	_	23	acl	_	caoineadh
25	son	son	ADP	_	_	27	case	_	dá
26	e	e	DET	_	Gender=Fem|Number=Sing|Person=3|Poss=Yes	27	nmod:poss	_	
27	cloan	cloan	NOUN	_	_	24	obl	_	clann
28	,	,	PUNCT	_	_	31	punct	_	,
29-31	er-yn-oyr	_	_	_	_	_	_	_	
29	er	er	ADP	_	_	31	case	_	de bhrí
30	yn	yn	DET	_	_	31	det	_	
31	oyr	oyr	NOUN	_	_	24	obl	_	
32	nagh	nagh	PART	_	_	33	mark	_	nach raibh
33	row	bee	VERB	_	Mood=Ind|Tense=Past	31	acl	_	
34	veg	veg	NOUN	_	_	33	nsubj	_	dada
35-36	jeu	_	_	_	_	_	_	_	
35	jeh	jeh	ADP	_	_	36	case	_	díobh
36	ad	ad	PRON	_	_	34	nmod	_	
37	faagit	faagit	ADJ	_	_	34	xcomp:pred	_	fágtha
38	.	.	PUNCT	_	_	3	punct	_	.

# sent_id = aa_023
# text = Va cabdil 'sy lioar shen enmysit "Aigh ny Yernee."
1	Va	bee	VERB	_	Mood=Ind|Tense=Past	0	root	_	Bhí
2	cabdil	cabdil	NOUN	_	_	1	nsubj	_	caibidil
3-4	'sy	_	_	_	_	_	_	_	
3	ayns	ayns	ADP	_	_	5	case	_	sa
4	yn	yn	DET	_	_	5	det	_	
5	lioar	lioar	NOUN	_	_	2	nmod	_	leabhar
6	shen	shen	DET	_	_	5	det	_	sin
7	enmysit	enmysit	ADJ	_	_	1	xcomp:pred	_	ainmnithe
8	"	"	PUNCT	_	_	9	punct	_	"
9	Aigh	aigh	NOUN	_	_	7	xcomp	_	Ádh
10	ny	ny	DET	_	_	11	det	_	na nÉireannach
11	Yernee	Yernagh	PROPN	_	_	9	nmod	_	
12	.	.	PUNCT	_	_	9	punct	_	.
13	"	"	PUNCT	_	_	9	punct	_	"

# sent_id = aa_024
# text = As haink eh gy-kione, tra va Abram er jeet gys Egypt, hug ny Egyptianee my-ner yn ven dy row ee feer aalin.
# text_ga = Agus nuair a chuaigh Abrám isteach san Éigipt chonaic na hÉigiptigh go raibh an bhean an-sciamhach.
1	As	as	CCONJ	_	_	2	cc	_	Agus
2	haink	tar	VERB	_	Mood=Ind|Tense=Past	0	root	_	tháinig
3	eh	eh	PRON	_	_	2	nsubj	_	sé
4-5	gy-kione	_	_	_	_	_	_	_	
4	gy	gy	ADP	_	_	5	case	_	chun críche
5	kione	kione	NOUN	_	_	2	obl	_	
6	,	,	PUNCT	_	_	8	punct	_	,
7	tra	tra	SCONJ	_	_	8	mark	_	nuair a
8	va	bee	VERB	_	Mood=Ind|Tense=Past	15	advcl	_	bhí
9	Abram	Abram	PROPN	_	_	8	nsubj	_	Abrám
10	er	er	ADP	_	_	11	case	_	tar éis teacht
11	jeet	çheet	NOUN	_	_	8	xcomp	_	
12	gys	gys	ADP	_	_	13	case	_	go dtí
13	Egypt	Egypt	PROPN	_	_	11	obl	_	An Éigipt
14	,	,	PUNCT	_	_	8	punct	_	,
15	hug	cur	VERB	_	Mood=Ind|Tense=Past	2	ccomp	_	thug
16	ny	ny	DET	_	_	17	det	_	na hÉigiptigh
17	Egyptianee	Egyptian	PROPN	_	_	15	nsubj	_	
18-19	my-ner	_	_	_	_	_	_	_	
18	my	my	ADP	_	_	19	case	_	faoi deara
19	ner	ner	NOUN	_	_	15	obl	_	
20	yn	yn	DET	_	_	21	det	_	an
21	ven	ben	NOUN	_	_	15	obj	_	bhean
22	dy	dy	PART	_	_	23	mark	_	go raibh
23	row	bee	VERB	_	Mood=Ind|Tense=Past	21	acl:relcl	_	
24	ee	ee	PRON	_	_	23	nsubj	_	sí
25	feer	feer	ADV	_	_	26	advmod	_	fíorálainn
26	aalin	aalin	ADJ	_	_	23	xcomp:pred	_	
27	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_025
# text = As nee ad gra, Cha vel ny laueyn ain er gheayrtey yn uill shoh, chamoo ta ny sooillyn ain er vakin eh.
# text_ga = Agus abraidís na focail seo: `Níor dhoirt ár lámha an fhuil seo agus ní fhaca ár súile aon ní. 
# text_en = And they shall answer and say, Our hands have not shed this blood, neither have our eyes seen it.
1	As	as	CCONJ	_	_	2	cc	_	Agus
2	nee	jean	VERB	_	Mood=Ind|Tense=Fut	0	root	_	déanfaidh
3	ad	ad	PRON	_	_	2	nsubj	_	siad
4	gra	gra	NOUN	_	_	2	xcomp	_	a rá
5	,	,	PUNCT	_	_	7	punct	_	,
6	Cha	cha	PART	_	_	7	mark	_	Níl
7	vel	bee	VERB	_	Mood=Ind|Tense=Pres	4	parataxis	_	
8	ny	ny	DET	_	_	9	det	_	na lámha
9	laueyn	laue	NOUN	_	_	7	nsubj	_	
10-11	ain	_	_	_	_	_	_	_	
10	ec	ec	ADP	_	_	11	case	_	againn
11	shin	shin	PRON	_	_	9	nmod	_	
12	er	er	ADP	_	_	13	case	_	tar éis doirteadh
13	gheayrtey	deayrtey	NOUN	_	_	7	xcomp	_	
14	yn	yn	DET	_	_	15	det	_	an
15	uill	fuill	NOUN	_	_	13	obj	_	fhuil
16	shoh	shoh	DET	_	_	15	det	_	seo
17	,	,	PUNCT	_	_	19	punct	_	,
18	chamoo	chamoo	CCONJ	_	_	19	cc	_	agus níl
19	ta	bee	VERB	_	Mood=Ind|Tense=Pres	7	conj	_	
20	ny	ny	DET	_	_	21	det	_	na súile
21	sooillyn	sooill	NOUN	_	_	19	nsubj	_	
22-23	ain	_	_	_	_	_	_	_	
22	ec	ec	ADP	_	_	23	case	_	againn
23	shin	shin	PRON	_	_	21	nmod	_	
24	er	er	ADP	_	_	25	case	_	tar éis feiceáil
25	vakin	fakin	NOUN	_	_	19	xcomp	_	
26	eh	eh	PRON	_	_	25	obj	_	é
27	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_026
# text = Bee yn guilley feer skee jeu.
1	Bee	bee	VERB	_	Mood=Ind|Tense=Fut	0	root	_	Beidh
2	yn	yn	DET	_	_	3	det	_	an
3	guilley	guilley	NOUN	_	_	1	nsubj	_	buachaill
4	feer	feer	ADV	_	_	5	advmod	_	an-tuirseach
5	skee	skee	ADJ	_	_	3	xcomp:pred	_	
6-7	jeu	_	_	_	_	_	_	_	
6	jeh	jeh	ADP	_	_	7	case	_	díobh
7	ad	ad	PRON	_	_	5	obl	_	
8	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_027
# text = Va dooinney lieh-rooisht ny hassoo aynshen as vrie eh jeh'n thalhear c'red v'eh.
1	Va	bee	VERB	_	Mood=Ind|Tense=Past	0	root	_	Bhí
2	dooinney	dooinney	NOUN	_	_	1	nsubj	_	fir
3	lieh-rooisht	lieh-rooisht	ADJ	_	_	2	amod	_	leathnochta
4	ny	ny	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	5	nmod:poss	_	ina sheasamh
5	hassoo	shassoo	NOUN	_	_	1	xcomp:pred	_	
6	aynshen	aynshen	ADV	_	_	5	advmod	_	ansin
7	as	as	CCONJ	_	_	8	cc	_	agus
8	vrie	brie	VERB	_	Mood=Ind|Tense=Past	1	conj	_	d'fhiafraigh
9	eh	eh	PRON	_	_	8	nsubj	_	sé
10-11	jeh'n	_	_	_	_	_	_	_	
10	jeh	jeh	ADP	_	_	12	case	_	den
11	yn	yn	DET	_	_	12	det	_	
12	thalhear	thalhear	NOUN	_	_	8	obl	_	táilliúir
13	c'red	c'red	PRON	_	_	8	ccomp	_	céard a bhí sé
14-15	v'eh	_	_	_	_	_	_	_	
14	v'	bee	VERB	_	Mood=Ind|Tense=Past	13	acl:relcl	_	
15	eh	eh	PRON	_	_	14	nsubj	_	
16	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_028
# text = "Ta Jee er ny vrasnaghey (liorish ny mee-chrauee) dy chooilley laa."
1	"	"	PUNCT	_	_	2	punct	_	"
2	Ta	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	Tá
3	Jee	Jee	PROPN	_	_	2	nsubj	_	Dia
4	er	er	ADP	_	_	6	case	_	á bhrostú
5	ny	ny	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	6	nmod:poss	_	
6	vrasnaghey	brasnaghey	NOUN	_	_	2	xcomp	_	
7	(	(	PUNCT	_	_	10	punct	_	(
8	liorish	liorish	ADP	_	_	10	case	_	ag
9	ny	ny	DET	_	_	10	det	_	na coirpigh
10	mee-chrauee	mee-chrauagh	NOUN	_	_	6	obl	_	
11	)	)	PUNCT	_	_	10	punct	_	)
12	dy	dy	DET	_	_	14	det	_	gach uile
13	chooilley	chooilley	DET	_	_	12	fixed	_	
14	laa	laa	NOUN	_	_	2	obl:tmod	_	lá
15	.	.	PUNCT	_	_	2	punct	_	.
16	"	"	PUNCT	_	_	2	punct	_	"

# sent_id = aa_029
# text = Ve orrym tughtey eh.
1-2	Ve	_	_	_	_	_	_	_	
1	Va	bee	VERB	_	Mood=Ind|Tense=Past	0	root	_	Bhí
2	eh	eh	PRON	_	_	1	nsubj	_	sé
3-4	orrym	_	_	_	_	_	_	_	
3	er	er	ADP	_	_	4	case	_	orm
4	mee	mee	PRON	_	_	1	xcomp:pred	_	
5	tughtey	tughtey	NOUN	_	_	1	xcomp	_	toghadh
6	eh	eh	PRON	_	_	5	obj	_	é
7	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_030
# text = As lhie eh e laueyn er, as livrey eh da e churrym, myr hug y Chiarn sarey, liorish laue Voses.
# text_ga = Leag sé a lámha air agus thug orduithe dó mar a d'aithin an Tiarna trí Mhaois.
1	As	as	CCONJ	_	_	2	cc	_	Agus
2	lhie	lhie	VERB	_	Mood=Ind|Tense=Past	0	root	_	leag
3	eh	eh	PRON	_	_	2	nsubj	_	sé
4	e	e	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	5	nmod:poss	_	a
5	laueyn	laue	NOUN	_	_	2	obj	_	lámha
6-7	er	_	_	_	_	_	_	_	
6	er	er	ADP	_	_	7	case	_	air
7	eh	eh	PRON	_	_	2	obl	_	
8	,	,	PUNCT	_	_	10	punct	_	,
9	as	as	CCONJ	_	_	10	cc	_	agus
10	livrey	livrey	VERB	_	Mood=Ind|Tense=Past	2	conj	_	d'fhuascail
11	eh	eh	PRON	_	_	10	nsubj	_	sé
12-13	da	_	_	_	_	_	_	_	
12	da	da	ADP	_	_	13	case	_	dó
13	eh	eh	PRON	_	_	10	obl	_	
14	e	e	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	15	nmod:poss	_	
15	churrym	currym	NOUN	_	_	10	obj	_	chúram
16	,	,	PUNCT	_	_	18	punct	_	,
17	myr	myr	SCONJ	_	_	18	mark	_	mar a
18	hug	cur	VERB	_	Mood=Ind|Tense=Past	2	advcl	_	thug
19	y	yn	DET	_	_	20	det	_	an
20	Chiarn	chiarn	NOUN	_	_	18	nsubj	_	Tiarna
21	sarey	sarey	NOUN	_	_	18	obj	_	ordú
22	,	,	PUNCT	_	_	24	punct	_	,
23	liorish	liorish	ADP	_	_	24	case	_	ag
24	laue	laue	NOUN	_	_	18	obl	_	lámh
25	Voses	Moses	PROPN	_	_	24	nmod	_	Mhaois
26	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_031
# text = Cha noddym geddyn barriaght er!
1	Cha	cha	PART	_	_	2	mark	_	Ní féidir liom
2	noddym	fod	VERB	_	Mood=Ind|Number=Sing|Person=1|Tense=Fut	0	root	_	
3	geddyn	geddyn	NOUN	_	_	2	xcomp	_	ag fáil
4	barriaght	barriaght	NOUN	_	_	3	obj	_	bua
5-6	er	_	_	_	_	_	_	_	
5	er	er	ADP	_	_	6	case	_	air
6	eh	eh	PRON	_	_	3	obl	_	
7	!	!	PUNCT	_	_	2	punct	_	!

# sent_id = aa_032
# text = My t'ad credjal dy yinnagh saase ennagh ad y chooney, nee ad ymmyd jeh.
1	My	my	SCONJ	_	_	2	mark	_	Má
2-3	t'ad	_	_	_	_	_	_	_	
2	t'	bee	VERB	_	Mood=Ind|Tense=Pres	13	advcl	_	tá siad
3	ad	ad	PRON	_	_	2	nsubj	_	
4	credjal	credjal	NOUN	_	_	2	xcomp	_	ag creidiúint
5	dy	dy	PART	_	_	6	mark	_	go
6	yinnagh	jean	VERB	_	Mood=Cnd	4	ccomp	_	ndéanfadh
7	saase	saase	NOUN	_	_	6	nsubj	_	modh
8	ennagh	ennagh	ADJ	_	_	7	amod	_	éigin
9	ad	ad	PRON	_	_	11	obj	_	iad
10	y	y	ADP	_	_	11	mark	_	a
11	chooney	cooney	NOUN	_	_	6	xcomp	_	chabhrú
12	,	,	PUNCT	_	_	2	punct	_	,
13	nee	jean	VERB	_	Mood=Ind|Tense=Fut	0	root	_	déanfaidh
14	ad	ad	PRON	_	_	13	nsubj	_	siad
15	ymmyd	ymmyd	NOUN	_	_	13	obj	_	úsáid
16-17	jeh	_	_	_	_	_	_	_	
16	jeh	jeh	ADP	_	_	17	case	_	de
17	eh	eh	PRON	_	_	13	obl	_	
18	.	.	PUNCT	_	_	13	punct	_	.

# sent_id = aa_033
# text = V'eh aalin dy liooar.
1-2	V'eh	_	_	_	_	_	_	_	
1	V'	bee	VERB	_	Mood=Ind|Tense=Past	0	root	_	Bhí sé
2	eh	eh	PRON	_	_	1	nsubj	_	
3	aalin	aalin	ADJ	_	_	1	xcomp:pred	_	álainn
4	dy	dy	PART	_	_	5	mark	_	go leor
5	liooar	liooar	ADJ	_	_	3	advmod	_	
6	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_034
# text = As ren ny ainleyn bannee shen Lesh bingys boggey niau, Shee yee as graih, as aigney mie, Y hoilshagh da sheelnaue.
1	As	as	CCONJ	_	_	2	cc	_	Agus
2	ren	jean	VERB	_	Mood=Ind|Tense=Past	0	root	_	rinne
3	ny	ny	DET	_	_	4	det	_	na n-aingeal
4	ainleyn	ainle	NOUN	_	_	2	nsubj	_	
5	bannee	bannee	ADJ	_	_	4	amod	_	beannaithe
6	shen	shen	PRON	_	_	2	obj	_	sin
7	Lesh	lesh	ADP	_	_	8	case	_	Le
8	bingys	bingys	NOUN	_	_	22	obj	_	binneas
9	boggey	boggey	NOUN	_	_	8	nmod	_	bogadh
10	niau	niau	NOUN	_	_	9	nmod	_	neamh
11	,	,	PUNCT	_	_	12	punct	_	,
12	Shee	shee	NOUN	_	_	8	conj	_	Sí
13	yee	jee	NOUN	_	_	12	nmod	_	dhia
14	as	as	CCONJ	_	_	15	cc	_	agus
15	graih	graih	NOUN	_	_	8	conj	_	grá
16	,	,	PUNCT	_	_	18	punct	_	,
17	as	as	CCONJ	_	_	18	cc	_	agus
18	aigney	aigney	NOUN	_	_	8	conj	_	dea-thoil
19	mie	mie	ADJ	_	_	18	amod	_	
20	,	,	PUNCT	_	_	18	punct	_	,
21	Y	y	ADP	_	_	22	mark	_	A
22	hoilshagh	soilshagh	NOUN	_	_	2	xcomp	_	thaispeáint
23	da	da	ADP	_	_	24	case	_	do
24	sheelnaue	sheelnaue	NOUN	_	_	22	obl	_	an cine daonna
25	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_035
# text = Ta'n ard-chooish ghraih kiart er çheu kiart credjue, lane cowraghyn ard-voyrnagh jeigeyragh; ta cooish chadjin Takagi as Miyoshi foddey ny sassey credjue.
# text_en = The main romance remains just on the believable side of ridiculous, in a grand teenage gestures sort of way; Takagi and Miyoshi are much more credible.
1-2	Ta'n	_	_	_	_	_	_	_	
1	Ta	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	Tá an
2	'n	yn	DET	_	_	3	det	_	
3	ard-chooish	ard-chooish	NOUN	_	_	1	nsubj	_	príomhábhar
4	ghraih	graih	NOUN	_	_	3	nmod	_	ghrá
5	kiart	kiart	ADV	_	_	1	advmod	_	ceart
6	er	er	ADP	_	_	7	case	_	ar
7	çheu	çheu	NOUN	_	_	1	obl	_	taobh
8	kiart	kiart	ADJ	_	_	7	amod	_	cearta
9	credjue	credjue	NOUN	_	_	7	nmod	_	creidimh
10	,	,	PUNCT	_	_	11	punct	_	,
11	lane	slane	NOUN	_	_	1	parataxis	_	a lán
12	cowraghyn	cowrey	NOUN	_	_	11	nmod	_	comharthaí
13	ard-voyrnagh	ard-voyrnagh	ADJ	_	_	12	amod	_	mórthaibhseacha
14	jeigeyragh	jeigeyragh	ADJ	_	_	12	amod	_	déagóracha
15	;	;	PUNCT	_	_	16	punct	_	;
16	ta	bee	VERB	_	Mood=Ind|Tense=Pres	1	parataxis	_	tá
17	cooish	cooish	NOUN	_	_	16	nsubj	_	cúis
18	chadjin	cadjin	ADJ	_	_	17	amod	_	choitianta
19	Takagi	Takagi	PROPN	_	_	17	nmod	_	Takagi
20	as	as	CCONJ	_	_	21	cc	_	agus
21	Miyoshi	Miyoshi	PROPN	_	_	19	conj	_	Miyoshi
22	foddey	foddey	ADV	_	_	24	advmod	_	i bhfad
23	ny	ny	PART	_	_	24	mark	_	níos éasca
24	sassey	aashagh	ADJ	_	_	17	amod	_	
25	credjue	credjue	NOUN	_	_	24	xcomp	_	creidimh
26	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_036
# text = Queshtanyn elley mychione Aisling.
1	Queshtanyn	queshtan	NOUN	_	_	0	root	_	Ceisteanna
2	elley	elley	ADJ	_	_	1	amod	_	eile
3	mychione	mychione	ADP	_	_	4	case	_	faoi
4	Aisling	Aisling	PROPN	_	_	1	nmod	_	Aisling
5	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_037
# text = As dooyrt eh rish e inneen, Cur uss arrym da dt'ayr as dty voir-'sy-leigh, ad ta nish dt'ayr as dty voir, dy voddym goo mie y chlashtyn jeed.
# text_en = And he said to his daughter, Honour thy father and thy mother in law, which are now thy parents, that I may hear good report of thee.
1	As	as	CCONJ	_	_	2	cc	_	Agus
2	dooyrt	abbyr	VERB	_	Mood=Ind|Tense=Past	0	root	_	dúirt
3	eh	eh	PRON	_	_	2	nsubj	_	sé
4	rish	rish	ADP	_	_	6	case	_	lena
5	e	e	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	6	nmod:poss	_	
6	inneen	inneen	NOUN	_	_	2	obl	_	iníon
7	,	,	PUNCT	_	_	8	punct	_	,
8	Cur	cur	VERB	_	Mood=Imp|Number=Sing|Person=2	2	parataxis	_	Tabhair
9	uss	oo	PRON	_	_	8	nsubj	_	
10	arrym	arrym	NOUN	_	_	8	obj	_	onóir
11	da	da	ADP	_	_	13	case	_	do
12-13	dt'ayr	_	_	_	_	_	_	_	
12	dt'	dty	DET	_	Number=Sing|Person=2|Poss=Yes	13	nmod:poss	_	d'athair
13	ayr	ayr	NOUN	_	_	8	obl	_	
14	as	as	CCONJ	_	_	16	cc	_	agus
15	dty	dty	DET	_	Number=Sing|Person=2|Poss=Yes	16	nmod:poss	_	do
16-19	voir-'sy-leigh	_	_	_	_	_	_	_	
16	voir	moir	NOUN	_	_	13	conj	_	mháthair chéile
17	ayns	ayns	ADP	_	_	19	case	_	
18	yn	yn	DET	_	_	19	det	_	
19	leigh	leigh	NOUN	_	_	16	nmod	_	
20	,	,	PUNCT	_	_	21	punct	_	,
21	ad	ad	PRON	_	_	13	appos	_	iad
22	ta	bee	VERB	_	Mood=Ind|Tense=Pres	21	acl:relcl	_	atá
23	nish	nish	ADV	_	_	22	advmod	_	anois
24-25	dt'ayr	_	_	_	_	_	_	_	
24	dt'	dty	DET	_	Number=Sing|Person=2|Poss=Yes	25	nmod:poss	_	d'athair
25	ayr	ayr	NOUN	_	_	22	xcomp:pred	_	
26	as	as	CCONJ	_	_	28	cc	_	agus
27	dty	dty	DET	_	Number=Sing|Person=2|Poss=Yes	28	nmod:poss	_	do
28	voir	moir	NOUN	_	_	25	conj	_	mháthair
29	,	,	PUNCT	_	_	21	punct	_	,
30	dy	dy	PART	_	_	31	mark	_	gur féidir liom
31	voddym	fod	VERB	_	Mood=Ind|Number=Sing|Person=1|Tense=Fut	8	ccomp	_	
32	goo	goo	NOUN	_	_	35	obj	_	dea-chlú
33	mie	mie	ADJ	_	_	32	amod	_	
34	y	y	ADP	_	_	35	mark	_	a
35	chlashtyn	clashtyn	NOUN	_	_	31	xcomp	_	chloisteáil
36-37	jeed	_	_	_	_	_	_	_	
36	jeh	jeh	ADP	_	_	37	case	_	díot
37	oo	oo	PRON	_	_	35	obl	_	
38	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_038
# text = As chroym eh sheese reesht, as scrieu eh er y laare.
1	As	as	CCONJ	_	_	2	cc	_	Agus
2	chroym	croym	VERB	_	Mood=Ind|Tense=Past	0	root	_	chrom
3	eh	eh	PRON	_	_	2	nsubj	_	sé
4	sheese	sheese	ADV	_	_	2	advmod	_	síos
5	reesht	reesht	ADV	_	_	2	advmod	_	arís
6	,	,	PUNCT	_	_	8	punct	_	,
7	as	as	CCONJ	_	_	8	cc	_	agus
8	scrieu	scrieu	VERB	_	Mood=Ind|Tense=Past	2	conj	_	scríobh
9	eh	eh	PRON	_	_	8	nsubj	_	sé
10	er	er	ADP	_	_	12	case	_	ar
11	y	yn	DET	_	_	12	det	_	an
12	laare	laare	NOUN	_	_	8	obl	_	urlár
13	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_039
# text = Agh nee Fer-ny-gherjagh, ta shen, yn Spyrryd Noo, eh nee yn Ayr y choyrt ayns yn ennym aym's, gynsaghey diu dy chooilley nhee, as tayrnee eh dy chooilley nhee gys nyn gooinaghtyn, cre-erbee ta mish er ghra riu.
# text_ga = ach an tAbhcóide, an Spiorad Naomh, a chuirfidh an tAthair uaidh i m'ainmse, múinfidh seisean an uile ní daoibh, agus cuirfidh sé i gcuimhne daoibh, ar inis mise daoibh.
1	Agh	agh	CCONJ	_	_	2	cc	_	Ach
2	nee	jean	VERB	_	Mood=Ind|Tense=Fut	0	root	_	déanfaidh
3	Fer-ny-gherjagh	fer-ny-gherjagh	PROPN	_	_	2	nsubj	_	An tAbhcóide
4	,	,	PUNCT	_	_	5	punct	_	,
5	ta	bee	VERB	_	Mood=Ind|Tense=Pres	2	parataxis	_	tá
6	shen	shen	PRON	_	_	5	nsubj	_	sin
7	,	,	PUNCT	_	_	5	punct	_	,
8	yn	yn	DET	_	_	9	det	_	an
9	Spyrryd	spyrryd	NOUN	_	_	3	appos	_	Spiorad Naomh
10	Noo	noo	ADJ	_	_	9	amod	_	
11	,	,	PUNCT	_	_	12	punct	_	,
12	eh	eh	PRON	_	_	3	appos	_	sé
13	nee	jean	VERB	_	Mood=Ind|Tense=Fut	12	acl:relcl	_	an
14	yn	yn	DET	_	_	15	det	_	an
15	Ayr	ayr	PROPN	_	_	13	nsubj	_	tAthair
16	y	y	ADP	_	_	17	mark	_	a
17	choyrt	coyrt	NOUN	_	_	13	xcomp	_	chuir
18	ayns	ayns	ADP	_	_	20	case	_	san
19	yn	yn	DET	_	_	20	det	_	
20	ennym	ennym	NOUN	_	_	17	obl	_	ainm
21-22	aym's	_	_	_	_	_	_	_	
21	ec	ec	ADP	_	_	22	case	_	agamsa
22	mish	mee	PRON	_	_	20	nmod	_	
23	,	,	PUNCT	_	_	24	punct	_	,
24	gynsaghey	ynsaghey	NOUN	_	_	2	xcomp	_	ag múineadh
25-26	diu	_	_	_	_	_	_	_	
25	da	da	ADP	_	_	26	case	_	daoibh
26	shiu	shiu	PRON	_	_	24	obl	_	
